Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
120,Liberia,4.625,0.863,0.72,0.56498,0.735,0.05,0.85
121,Kenya,4.607,0.922,0.688,0.60704,0.779,0.287,0.825
122,Tunisia,4.596,0.967,0.691,0.67201,0.656,-0.201,0.87
123,Lebanon,4.584,0.983,0.848,0.67355,0.525,-0.073,0.898
124,Namibia,4.574,0.962,0.818,0.56799,0.719,-0.149,0.847
125,Palestinian Territories,4.517,0.929,0.826,0.6225,0.653,-0.163,0.821
126,Myanmar,4.426,0.932,0.779,0.59302,0.876,0.509,0.66
127,Jordan,4.395,0.963,0.767,0.67,0.755,-0.167,0.705
128,Chad,4.355,0.867,0.619,0.48478,0.579,0.041,0.807
129,Sri Lanka,4.325,0.976,0.827,0.67299,0.841,0.079,0.863
130,Swaziland,4.308,0.957,0.77,0.50833,0.647,-0.185,0.708
131,Comoros,4.289,0.905,0.626,0.57349,0.548,0.082,0.781
132,Egypt,4.283,0.972,0.75,0.61998,0.749,-0.182,0.795
133,Ethiopia,4.275,0.886,0.764,0.59,0.752,0.082,0.761
134,Mauritania,4.227,0.932,0.795,0.57161,0.561,-0.106,0.731
135,Madagascar,4.208,0.869,0.686,0.59305,0.552,-0.005,0.803
136,Togo,4.107,0.867,0.569,0.54914,0.619,0.032,0.772
137,Zambia,4.073,0.911,0.708,0.55809,0.782,0.061,0.823
138,Sierra Leone,3.849,0.871,0.63,0.51651,0.717,0.084,0.866
139,India,3.819,0.942,0.603,0.60633,0.893,0.089,0.774
140,Burundi,3.775,0.822,0.49,0.534,0.626,-0.024,0.607
141,Yemen,3.658,0.88,0.832,0.57122,0.602,-0.147,0.8
142,Tanzania,3.623,0.896,0.702,0.57999,0.833,0.183,0.577
143,Haiti,3.615,0.874,0.54,0.557,0.593,0.422,0.721
144,Malawi,3.6,0.842,0.537,0.57948,0.78,0.038,0.729
145,Lesotho,3.512,0.899,0.787,0.487,0.715,-0.131,0.915
146,Botswana,3.467,0.99,0.784,0.59269,0.824,-0.246,0.801
147,Rwanda,3.415,0.885,0.552,0.614,0.897,0.061,0.167
148,Zimbabwe,3.145,0.9,0.75,0.56201,0.677,-0.047,0.821
149,Afghanistan,2.523,0.886,0.463,0.52493,0.382,-0.102,0.924
